movie,director,m_year,critic,crit_org,crit_cn,nm_dir,director_birth,language
The Turin Horse,Ágnes Hranitzky,2011,Kim Morgan,Sight & Sound/Criterion,US,2,1945,Hungarian
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,2009,Kim Morgan,Sight & Sound/Criterion,US,1,1942,English
Mulholland Drive,David Lynch,2001,Kate Muir,The Times,UK,1,1946,English
The Tree of Life,Terrence Malick,2011,Kate Muir,The Times,UK,1,1943,English
Night Will Fall,André Singer,2014,Kate Muir,The Times,UK,1,,English
12 Years a Slave,Steve McQueen,2013,Kate Muir,The Times,UK,1,1969,English
We Need to Talk About Kevin,Lynne Ramsay,2011,Kate Muir,The Times,UK,1,1969,English
Boyhood,Richard Linklater,2014,Kate Muir,The Times,UK,1,1960,English
Amour,Michael Haneke,2012,Kate Muir,The Times,UK,1,1942,French
The Lives of Others,Florian Henckel von Donnersmarck,2006,Kate Muir,The Times,UK,1,1973,English
Nostalgia for the Light,Patricio Guzmán,2010,Kate Muir,The Times,UK,1,1941,
Red Road,Andrea Arnold,2006,Kate Muir,The Times,UK,1,1961,English
Before Midnight,Richard Linklater,2013,Chris Nashawaty,Entertainment Weekly,US,1,1960,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Chris Nashawaty,Entertainment Weekly,US,1,1963,English
Munich,Steven Spielberg,2005,Chris Nashawaty,Entertainment Weekly,US,1,1946,English
The Social Network,David Fincher,2010,Chris Nashawaty,Entertainment Weekly,US,1,1962,English
The Grand Budapest Hotel,Wes Anderson,2014,Chris Nashawaty,Entertainment Weekly,US,1,1969,English
Sexy Beast,Jonathan Glazer,2000,Chris Nashawaty,Entertainment Weekly,US,1,1965,English
The Lobster,Yorgos Lanthimos,2015,Chris Nashawaty,Entertainment Weekly,US,1,1973,English
Inglourious Basterds,Quentin Tarantino,2009,Chris Nashawaty,Entertainment Weekly,US,1,1963,English
Best in Show,Christopher Guest,2000,Chris Nashawaty,Entertainment Weekly,US,1,1948,English
Gladiator,Ridley Scott,2000,Chris Nashawaty,Entertainment Weekly,US,1,1937,English
Yi Yi: A One and a Two,Edward Yang,2000,Farran Smith Nehme,The New York Post/Film Comment,US,1,1947,Mandarin
A Separation,Asghar Farhadi,2011,Farran Smith Nehme,The New York Post/Film Comment,US,1,1972,Persian
25th Hour,Spike Lee,2002,Farran Smith Nehme,The New York Post/Film Comment,US,1,1957,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Farran Smith Nehme,The New York Post/Film Comment,US,1,1968,English
WALL-E,Andrew Stanton,2008,Farran Smith Nehme,The New York Post/Film Comment,US,1,1965,English
Phoenix,Christian Petzold,2014,Farran Smith Nehme,The New York Post/Film Comment,US,1,1960,English
Selma,Ava DuVernay,2014,Farran Smith Nehme,The New York Post/Film Comment,US,1,1972,English
Timbuktu,Abderrahmane Sissako,2014,Farran Smith Nehme,The New York Post/Film Comment,US,1,1961,French
About Elly,Asghar Farhadi,2009,Farran Smith Nehme,The New York Post/Film Comment,US,1,1972,Persian
I’m Going Home,Manoel de Oliveira,2001,Farran Smith Nehme,The New York Post/Film Comment,US,1,1908,French
Inside Llewyn Davis,Joel Coen,2013,Joe Neumaier,WOR-710AM New York,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Joe Neumaier,WOR-710AM New York,US,2,1957,English
There Will Be Blood,Paul Thomas Anderson,2007,Joe Neumaier,WOR-710AM New York,US,1,1970,English
Inside Out,Pete Docter,2015,Joe Neumaier,WOR-710AM New York,US,1,1968,English
Carol,Todd Haynes,2015,Joe Neumaier,WOR-710AM New York,US,1,1961,English
Brooklyn,John Crowley,2015,Joe Neumaier,WOR-710AM New York,US,1,1969,English
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Joe Neumaier,WOR-710AM New York,US,1,1954,Mandarin
Boyhood,Richard Linklater,2014,Joe Neumaier,WOR-710AM New York,US,1,1960,English
Fruitvale Station,Ryan Coogler,2013,Joe Neumaier,WOR-710AM New York,US,1,1986,English
Blue Valentine,Derek Cianfrance,2010,Joe Neumaier,WOR-710AM New York,US,1,1974,English
Her,Spike Jonze,2013,Joe Neumaier,WOR-710AM New York,US,1,1969,English
Good Bye Lenin!,Wolfgang Becker,2003,Chris Newbould,The National,UAE,1,1954,German
Lost in Translation,Sofia Coppola,2003,Chris Newbould,The National,UAE,1,1971,English
Spotlight,Tom McCarthy,2015,Chris Newbould,The National,UAE,1,1966,English
Pan's Labyrinth,Guillermo Del Toro,2006,Chris Newbould,The National,UAE,1,1964,Spanish
Mad Max: Fury Road,George Miller,2015,Chris Newbould,The National,UAE,1,1945,English
The Baader Meinhof Complex,Uli Edel,2008,Chris Newbould,The National,UAE,1,1947,German
Boyhood,Richard Linklater,2014,Chris Newbould,The National,UAE,1,1960,English
No Man's Land,Danis Tanovic,2001,Chris Newbould,The National,UAE,1,1969,Bosnian
Che,Steven Soderbergh,2008,Chris Newbould,The National,UAE,1,1963,English
Ghost World,Terry Zwigoff,2001,Chris Newbould,The National,UAE,1,1949,English
"Synecdoche, New York",Charlie Kaufman,2008,Amy Nicholson,MTV News,US,1,1958,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Amy Nicholson,MTV News,US,1,1963,English
Django Unchained,Quentin Tarantino,2012,Amy Nicholson,MTV News,US,1,1963,English
The Grand Budapest Hotel,Wes Anderson,2014,Amy Nicholson,MTV News,US,1,1969,English
Alpha Dog,Nick Cassavetes,2006,Amy Nicholson,MTV News,US,1,1959,English
Her,Spike Jonze,2013,Amy Nicholson,MTV News,US,1,1969,English
Young Adult,Jason Reitman,2011,Amy Nicholson,MTV News,US,1,1977,English
The Dark Knight,Christopher Nolan,2008,Amy Nicholson,MTV News,US,1,1970,English
Tropic Thunder,Ben Stiller,2008,Amy Nicholson,MTV News,US,1,1965,English
Children of Men,Alfonso Cuarón,2006,Amy Nicholson,MTV News,US,1,1961,Russian
Memento,Christopher Nolan,2000,Ong Soh Chin,Freelance,Singapore,1,1970,English
Oldboy,Park Chan-wook,2003,Ong Soh Chin,Freelance,Singapore,1,1963,Korean
The Circle,Jafar Panahi,2000,Ong Soh Chin,Freelance,Singapore,1,1960,English
The Lives of Others,Florian Henckel von Donnersmarck,2006,Ong Soh Chin,Freelance,Singapore,1,1973,English
Dirty Pretty Things,Stephen Frears,2002,Ong Soh Chin,Freelance,Singapore,1,1941,English
We Need to Talk About Kevin,Lynne Ramsay,2011,Ong Soh Chin,Freelance,Singapore,1,1969,English
The Imposter,Bart Layton,2012,Ong Soh Chin,Freelance,Singapore,1,,English
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,Ong Soh Chin,Freelance,Singapore,1,July 25,Persian
Mother,Bong Joon-ho,2009,Ong Soh Chin,Freelance,Singapore,1,1969,English
Bone Tomahawk,S. Craig Zahler,2015,Ong Soh Chin,Freelance,Singapore,1,1973,English
Boyhood,Richard Linklater,2014,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1960,English
Melancholia,Lars von Trier,2011,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1956,English
The Great Beauty,Paolo Sorrentino,2013,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1970,Italian
The White Ribbon,Michael Haneke,2009,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1942,German
A Separation,Asghar Farhadi,2011,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1972,Persian
Winter Sleep,Nuri Bilge Ceylan,2014,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1959,Turkish
Spirited Away,Hayao Miyazaki,2001,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1941,Japanese
The Artist,Michel Hazanavicius,2011,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1967,English
Spring Breakers,Harmony Korine,2012,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1973,English
The Queen,Stephen Frears,2006,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,1,1941,English
Caché,Michael Haneke,2005,Matthew Patches,Thrillist,US,1,1942,French
Spirited Away,Hayao Miyazaki,2001,Matthew Patches,Thrillist,US,1,1941,Japanese
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Matthew Patches,Thrillist,US,1,1963,English
The Tree of Life,Terrence Malick,2011,Matthew Patches,Thrillist,US,1,1943,English
The Grand Budapest Hotel,Wes Anderson,2014,Matthew Patches,Thrillist,US,1,1969,English
The Comedy,Rick Alverson,2012,Matthew Patches,Thrillist,US,1,1971,English
Zero Dark Thirty,Kathryn Bigelow,2012,Matthew Patches,Thrillist,US,1,1951,English
No Country For Old Men,Joel Coen,2007,Matthew Patches,Thrillist,US,2,1954,English
No Country For Old Men,Ethan Coen,2007,Matthew Patches,Thrillist,US,2,1957,English
Memories of Murder,Bong Joon-ho,2003,Matthew Patches,Thrillist,US,1,1969,Korean
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,Matthew Patches,Thrillist,US,1,1956,English
There Will Be Blood,Paul Thomas Anderson,2007,Steve Persall,Tampa Bay Times,US,1,1970,English
Pan's Labyrinth,Guillermo Del Toro,2006,Steve Persall,Tampa Bay Times,US,1,1964,Spanish
Children of Men,Alfonso Cuarón,2006,Steve Persall,Tampa Bay Times,US,1,1961,Russian
Brokeback Mountain,Ang Lee,2005,Steve Persall,Tampa Bay Times,US,1,1954,English
The Dark Knight,Christopher Nolan,2008,Steve Persall,Tampa Bay Times,US,1,1970,English
Almost Famous,Cameron Crowe,2000,Steve Persall,Tampa Bay Times,US,1,1957,English
A Serious Man,Joel Coen,2009,Steve Persall,Tampa Bay Times,US,2,1954,English
A Serious Man,Ethan Coen,2009,Steve Persall,Tampa Bay Times,US,2,1957,English
Kill Bill: Vol. 1,Quentin Tarantino,2003,Steve Persall,Tampa Bay Times,US,1,1963,English
Donnie Darko,Richard Kelly,2001,Steve Persall,Tampa Bay Times,US,1,1975,English
"O Brother, Where Art Thou?",Joel Coen,2000,Steve Persall,Tampa Bay Times,US,2,1954,English
"O Brother, Where Art Thou?",Ethan Coen,2000,Steve Persall,Tampa Bay Times,US,2,1957,English
There Will Be Blood,Paul Thomas Anderson,2007,Michael Phillips,Chicago Tribune,US,1,1970,English
Ratatouille,Brad Bird,2007,Michael Phillips,Chicago Tribune,US,2,1957,English
Ratatouille,Jan Pinkava,2007,Michael Phillips,Chicago Tribune,US,2,1963,English
Climates,Nuri Bilge Ceylan,2006,Michael Phillips,Chicago Tribune,US,1,1959,Turkish
Mulholland Drive,David Lynch,2001,Michael Phillips,Chicago Tribune,US,1,1946,English
Y Tu Mamá También,Alfonso Cuarón,2001,Michael Phillips,Chicago Tribune,US,1,1961,Spanish
Her,Spike Jonze,2013,Michael Phillips,Chicago Tribune,US,1,1969,English
Boyhood,Richard Linklater,2014,Michael Phillips,Chicago Tribune,US,1,1960,English
Poetry,Lee Chang-dong,2010,Michael Phillips,Chicago Tribune,US,1,1954,Korean
The Grand Budapest Hotel,Wes Anderson,2014,Michael Phillips,Chicago Tribune,US,1,1969,English
Zodiac,David Fincher,2007,Michael Phillips,Chicago Tribune,US,1,1962,English
Yi Yi: A One and a Two,Edward Yang,2000,Keith Phipps,Uproxx,US,1,1947,Mandarin
Y Tu Mamá También,Alfonso Cuarón,2001,Keith Phipps,Uproxx,US,1,1961,Spanish
Mulholland Drive,David Lynch,2001,Keith Phipps,Uproxx,US,1,1946,English
Waking Life,Richard Linklater,2001,Keith Phipps,Uproxx,US,1,1960,English
In the Mood for Love,Wong Kar-wai,2000,Keith Phipps,Uproxx,US,1,1956,
Moonrise Kingdom,Wes Anderson,2012,Keith Phipps,Uproxx,US,1,1969,English
25th Hour,Spike Lee,2002,Keith Phipps,Uproxx,US,1,1957,English
Certified Copy,Abbas Kiarostami,2010,Keith Phipps,Uproxx,US,1,1940,French
AI: Artificial Intelligence,Steven Spielberg,2001,Keith Phipps,Uproxx,US,1,1946,English
Only Lovers Left Alive,Jim Jarmusch,2013,Keith Phipps,Uproxx,US,1,1953,English
Melancholia,Lars von Trier,2011,Hannah Pilarczyk,Der Spiegel,Germany,1,1956,English
Spirited Away,Hayao Miyazaki,2001,Hannah Pilarczyk,Der Spiegel,Germany,1,1941,Japanese
Beyond the Hills,Cristian Mungiu,2012,Hannah Pilarczyk,Der Spiegel,Germany,1,1968,Romanian
Let the Right One In,Tomas Alfredson,2008,Hannah Pilarczyk,Der Spiegel,Germany,1,1965,English
Stories We Tell,Sarah Polley,2012,Hannah Pilarczyk,Der Spiegel,Germany,1,1979,English
Carol,Todd Haynes,2015,Hannah Pilarczyk,Der Spiegel,Germany,1,1961,English
The Death of Mr Lazarescu,Cristi Puiu,2005,Hannah Pilarczyk,Der Spiegel,Germany,1,1967,Romanian
The Master,Paul Thomas Anderson,2012,Hannah Pilarczyk,Der Spiegel,Germany,1,1970,English
Caché,Michael Haneke,2005,Hannah Pilarczyk,Der Spiegel,Germany,1,1942,French
All Divided Selves,Luke Fowler,2011,Hannah Pilarczyk,Der Spiegel,Germany,1,,English
The White Ribbon,Michael Haneke,2009,Agnès C Poirier,Marianne,France,1,1942,German
Winter Sleep,Nuri Bilge Ceylan,2014,Agnès C Poirier,Marianne,France,1,1959,Turkish
Timbuktu,Abderrahmane Sissako,2014,Agnès C Poirier,Marianne,France,1,1961,French
Mia Madre,Nanni Moretti,2015,Agnès C Poirier,Marianne,France,1,1953,Italian
The Return,Andrey Zvyagintsev,2003,Agnès C Poirier,Marianne,France,1,1964,English
Oasis,Lee Chang-dong,2002,Agnès C Poirier,Marianne,France,1,1954,Korean
Bad Education,Pedro Almodóvar,2004,Agnès C Poirier,Marianne,France,1,1949,English
The Artist,Michel Hazanavicius,2011,Agnès C Poirier,Marianne,France,1,1967,English
Oldboy,Park Chan-wook,2003,Agnès C Poirier,Marianne,France,1,1963,Korean
The House of Mirth,Terence Davies,2000,Agnès C Poirier,Marianne,France,1,1945,English
Boyhood,Richard Linklater,2014,Claudia Puig,Freelance film critic,US,1,1960,English
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Claudia Puig,Freelance film critic,US,1,1954,Mandarin
Locke,Steven Knight,2013,Claudia Puig,Freelance film critic,US,1,1959,English
The Hurt Locker,Kathryn Bigelow,2008,Claudia Puig,Freelance film critic,US,1,1951,English
Pan's Labyrinth,Guillermo Del Toro,2006,Claudia Puig,Freelance film critic,US,1,1964,Spanish
The Lives of Others,Florian Henckel von Donnersmarck,2006,Claudia Puig,Freelance film critic,US,1,1973,English
Sin Nombre,Cary Joji Fukunaga,2009,Claudia Puig,Freelance film critic,US,1,1977,Spanish
Nebraska,Alexander Payne,2013,Claudia Puig,Freelance film critic,US,1,1961,English
Fruitvale Station,Ryan Coogler,2013,Claudia Puig,Freelance film critic,US,1,1986,English
Man on Wire,James Marsh,2008,Claudia Puig,Freelance film critic,US,1,1963,English
A Separation,Asghar Farhadi,2011,Zakir Hossein Raju,Independent University,Bangladesh,1,1972,Persian
Babel,Alejandro González Iñárritu,2006,Zakir Hossein Raju,Independent University,Bangladesh,1,,English
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,Zakir Hossein Raju,Independent University,Bangladesh,1,1960,
In the Mood for Love,Wong Kar-wai,2000,Zakir Hossein Raju,Independent University,Bangladesh,1,1956,
Spirited Away,Hayao Miyazaki,2001,Zakir Hossein Raju,Independent University,Bangladesh,1,1941,Japanese
Brokeback Mountain,Ang Lee,2005,Zakir Hossein Raju,Independent University,Bangladesh,1,1954,English
Oldboy,Park Chan-wook,2003,Zakir Hossein Raju,Independent University,Bangladesh,1,1963,Korean
Ten,Abbas Kiarostami,2002,Zakir Hossein Raju,Independent University,Bangladesh,1,1940,Japanese
Russian Ark,Aleksandr Sokurov,2002,Zakir Hossein Raju,Independent University,Bangladesh,1,1951,Russian
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Zakir Hossein Raju,Independent University,Bangladesh,1,1959,English
Goodbye to Language,Jean-Luc Godard,2014,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1930,French
Colossal Youth,Pedro Costa,2006,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1958,Kabuverdianu
Werckmeister Harmonies,Béla Tarr,2000,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,2,1955,Hungarian
Werckmeister Harmonies,Ágnes Hranitzky,2000,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,2,1945,Hungarian
Holy Motors,Leos Carax,2012,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1960,French
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1970,Thai
Leviathan,Andrey Zvyagintsev,2014,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1964,English
Tabu,Miguel Gomes,2012,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1972,Portuguese
The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers,Ben Rivers,2015,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1972,English
From What Is Before,Lav Diaz,2014,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1958,Filipino
Lost and Beautiful,Pietro Marcello,2015,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba,1,1976,Italian
The Tree of Life,Terrence Malick,2011,Jordan Raup,The Film Stage,US,1,1943,English
In the Mood for Love,Wong Kar-wai,2000,Jordan Raup,The Film Stage,US,1,1956,
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,Jordan Raup,The Film Stage,US,1,1967,English
Inside Llewyn Davis,Joel Coen,2013,Jordan Raup,The Film Stage,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Jordan Raup,The Film Stage,US,2,1957,English
Zodiac,David Fincher,2007,Jordan Raup,The Film Stage,US,1,1962,English
Inherent Vice,Paul Thomas Anderson,2014,Jordan Raup,The Film Stage,US,1,1970,English
Children of Men,Alfonso Cuarón,2006,Jordan Raup,The Film Stage,US,1,1961,Russian
Lost in Translation,Sofia Coppola,2003,Jordan Raup,The Film Stage,US,1,1971,English
25th Hour,Spike Lee,2002,Jordan Raup,The Film Stage,US,1,1957,English
Carol,Todd Haynes,2015,Jordan Raup,The Film Stage,US,1,1961,English
Mulholland Drive,David Lynch,2001,Isabelle Regnier,Le Monde,France,1,1946,English
The Captive,Chantal Akerman,2000,Isabelle Regnier,Le Monde,France,1,1950,English
Tie Xi Qu: West of the Tracks,Wang Bing,2002,Isabelle Regnier,Le Monde,France,1,1967,Mandarin
The Yards,James Gray,2000,Isabelle Regnier,Le Monde,France,1,1969,English
Platform,Jia Zhangke,2000,Isabelle Regnier,Le Monde,France,1,,Spanish
Shara,Naomi Kawase,2003,Isabelle Regnier,Le Monde,France,1,1969,Japanese
Ten,Abbas Kiarostami,2002,Isabelle Regnier,Le Monde,France,1,1940,Japanese
Twixt,Francis Ford Coppola,2011,Isabelle Regnier,Le Monde,France,1,1939,English
To Die Like a Man,João Pedro Rodrigues,2009,Isabelle Regnier,Le Monde,France,1,1966,English
Spring Breakers,Harmony Korine,2012,Isabelle Regnier,Le Monde,France,1,1973,English
The Diving Bell and the Butterfly,Julian Schnabel,2007,Mauricio Reina,El Tiempo,Colombia,1,1951,English
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Mauricio Reina,El Tiempo,Colombia,1,1960,English
Let the Right One In,Tomas Alfredson,2008,Mauricio Reina,El Tiempo,Colombia,1,1965,English
The Act of Killing,Joshua Oppenheimer,2012,Mauricio Reina,El Tiempo,Colombia,1,1974,Indonesian
Pan's Labyrinth,Guillermo Del Toro,2006,Mauricio Reina,El Tiempo,Colombia,1,1964,Spanish
There Will Be Blood,Paul Thomas Anderson,2007,Mauricio Reina,El Tiempo,Colombia,1,1970,English
A Separation,Asghar Farhadi,2011,Mauricio Reina,El Tiempo,Colombia,1,1972,Persian
A Prophet,Jacques Audiard,2009,Mauricio Reina,El Tiempo,Colombia,1,1952,French
WALL-E,Andrew Stanton,2008,Mauricio Reina,El Tiempo,Colombia,1,1965,English
District 9,Neill Blomkamp,2009,Mauricio Reina,El Tiempo,Colombia,1,1979,English
Certified Copy,Abbas Kiarostami,2010,Scott Renshaw,Salt Lake City Weekly,US,1,1940,French
Inside Llewyn Davis,Joel Coen,2013,Scott Renshaw,Salt Lake City Weekly,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Scott Renshaw,Salt Lake City Weekly,US,2,1957,English
The Master,Paul Thomas Anderson,2012,Scott Renshaw,Salt Lake City Weekly,US,1,1970,English
In the Mood for Love,Wong Kar-wai,2000,Scott Renshaw,Salt Lake City Weekly,US,1,1956,
It's Such a Beautiful Day,Don Hertzfeldt,2012,Scott Renshaw,Salt Lake City Weekly,US,1,1976,English
The Deep Blue Sea,Terence Davies,2011,Scott Renshaw,Salt Lake City Weekly,US,1,1945,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Scott Renshaw,Salt Lake City Weekly,US,1,1963,English
Sita Sings the Blues,Nina Paley,2008,Scott Renshaw,Salt Lake City Weekly,US,1,1968,English
The Babadook,Jennifer Kent,2014,Scott Renshaw,Salt Lake City Weekly,US,1,1969,English
Holy Motors,Leos Carax,2012,Scott Renshaw,Salt Lake City Weekly,US,1,1960,French
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Katey Rich,Vanity Fair,US,1,1963,English
WALL-E,Andrew Stanton,2008,Katey Rich,Vanity Fair,US,1,1965,English
In the Mood for Love,Wong Kar-wai,2000,Katey Rich,Vanity Fair,US,1,1956,
There Will Be Blood,Paul Thomas Anderson,2007,Katey Rich,Vanity Fair,US,1,1970,English
Take This Waltz,Sarah Polley,2011,Katey Rich,Vanity Fair,US,1,1979,English
The Diving Bell and the Butterfly,Julian Schnabel,2007,Katey Rich,Vanity Fair,US,1,1951,English
Son of Saul,László Nemes,2015,Katey Rich,Vanity Fair,US,1,1977,Hungarian
Man on Wire,James Marsch,2008,Katey Rich,Vanity Fair,US,1,,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Katey Rich,Vanity Fair,US,1,1968,English
Avatar,James Cameron,2009,Katey Rich,Vanity Fair,US,1,1954,English
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Carrie Rickey,Freelance film critic,US,1,1954,Mandarin
Bend It Like Beckham,Gurinder Chadha,2002,Carrie Rickey,Freelance film critic,US,1,1960,English
Her,Spike Jonze,2013,Carrie Rickey,Freelance film critic,US,1,1969,English
Ida,Paweł Pawlikowski,2013,Carrie Rickey,Freelance film critic,US,1,1957,Polish
The Namesake,Mira Nair,2006,Carrie Rickey,Freelance film critic,US,1,1957,English
The New World,Terrence Malick,2005,Carrie Rickey,Freelance film critic,US,1,1943,English
Pan's Labyrinth,Guillermo Del Toro,2006,Carrie Rickey,Freelance film critic,US,1,1964,Spanish
Paradise Now,Hany Abu-Assad,2005,Carrie Rickey,Freelance film critic,US,1,1961,Arabic
Selma,Ava DuVernay,2014,Carrie Rickey,Freelance film critic,US,1,1972,English
The Social Network,David Fincher,2010,Carrie Rickey,Freelance film critic,US,1,1962,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Rigby,BBC Culture,UK,1,1963,English
Brokeback Mountain,Ang Lee,2005,Sam Rigby,BBC Culture,UK,1,1954,English
The Dark Knight,Christopher Nolan,2008,Sam Rigby,BBC Culture,UK,1,1970,English
Finding Nemo,Andrew Stanton,2003,Sam Rigby,BBC Culture,UK,2,1965,English
Finding Nemo,Lee Unkrich,2003,Sam Rigby,BBC Culture,UK,2,1967,English
Whiplash,Damien Chazelle,2014,Sam Rigby,BBC Culture,UK,1,1985,English
Shame,Steve McQueen,2011,Sam Rigby,BBC Culture,UK,1,1969,English
Revolutionary Road,Sam Mendes,2008,Sam Rigby,BBC Culture,UK,1,1965,English
Inside Llewyn Davis,Joel Coen,2013,Sam Rigby,BBC Culture,UK,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Sam Rigby,BBC Culture,UK,2,1957,English
Weekend,Andrew Haigh,2011,Sam Rigby,BBC Culture,UK,1,March 7,English
Persepolis,Vincent Paronnaud,2007,Sam Rigby,BBC Culture,UK,2,1970,French
Persepolis,Marjane Satrapi,2007,Sam Rigby,BBC Culture,UK,2,1969,French
In the Mood for Love,Wong Kar-wai,2000,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1956,
Son of Saul,László Nemes,2015,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1977,Hungarian
The Hurt Locker,Kathryn Bigelow,2008,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1951,English
The Beat That My Heart Skipped,Jacques Audiard,2005,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1952,French
The Edge of Heaven,Fatih Akin,2007,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1973,English
Waltz with Bashir,Ari Folman,2008,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1962,Hebrew
Oldboy,Park Chan-wook,2003,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1963,Korean
Good Bye Lenin!,Wolfgang Becker,2003,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1954,German
Ida,Paweł Pawlikowski,2013,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1957,Polish
Incendies,Denis Villeneuve,2010,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,1,1967,French
Mulholland Drive,David Lynch,2001,Tim Robey,The Daily Telegraph,UK,1,1946,English
"Synecdoche, New York",Charlie Kaufman,2008,Tim Robey,The Daily Telegraph,UK,1,1958,English
Birth,Jonathan Glazer,2004,Tim Robey,The Daily Telegraph,UK,1,1965,English
Elena,Andrey Zvyagintsev,2011,Tim Robey,The Daily Telegraph,UK,1,1964,English
Carol,Todd Haynes,2015,Tim Robey,The Daily Telegraph,UK,1,1961,English
Tabu,Miguel Gomes,2012,Tim Robey,The Daily Telegraph,UK,1,1972,Portuguese
Master and Commander: The Far Side of the World,Peter Weir,2003,Tim Robey,The Daily Telegraph,UK,1,1944,English
Margaret,Kenneth Lonergan,2011,Tim Robey,The Daily Telegraph,UK,1,1962,English
There Will Be Blood,Paul Thomas Anderson,2007,Tim Robey,The Daily Telegraph,UK,1,1970,English
12 Years a Slave,Steve McQueen,2013,Tim Robey,The Daily Telegraph,UK,1,1969,English
25th Hour,Spike Lee,2002,Tasha Robinson,The Verge,US,1,1957,English
City of God,Fernando Meirelles,2002,Tasha Robinson,The Verge,US,2,1955,Portuguese
City of God,Kátia Lund,2002,Tasha Robinson,The Verge,US,2,1966,Portuguese
The Act of Killing,Joshua Oppenheimer,2012,Tasha Robinson,The Verge,US,1,1974,Indonesian
The Prestige,Christopher Nolan,2006,Tasha Robinson,The Verge,US,1,1970,English
Spirited Away,Hayao Miyazaki,2001,Tasha Robinson,The Verge,US,1,1941,Japanese
The Incredibles,Brad Bird,2004,Tasha Robinson,The Verge,US,1,1957,English
Gosford Park,Robert Altman,2001,Tasha Robinson,The Verge,US,1,1925,English
Memento,Christopher Nolan,2000,Tasha Robinson,The Verge,US,1,1970,English
Song of the Sea,Tomm Moore,2014,Tasha Robinson,The Verge,US,1,1977,English
"Synecdoche, New York",Charlie Kaufman,2008,Tasha Robinson,The Verge,US,1,1958,English
Mulholland Drive,David Lynch,2001,Rene Rodriguez,The Miami Herald,US,1,1946,English
